_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
15365,173536,HCE-20171011-4683,2018-01-29T00:00:00,2018-01-30T00:00:00,
15366,173265,HCE-20170929-4603,2018-01-09T00:00:00,2018-01-11T00:00:00,
15367,173549,HCE-20171103-4904,2018-01-31T00:00:00,2018-01-31T00:00:00,
15368,173299,HCE-20171204-5113,2018-01-11T00:00:00,2018-01-16T00:00:00,
15369,173291,HCE-20170719-3719,2018-01-10T00:00:00,2018-01-16T00:00:00,
15370,173268,HCE-20171222-5252,2018-01-10T00:00:00,2018-01-11T00:00:00,
15371,173236,HCE-20170911-4394,2018-01-05T00:00:00,2018-01-10T00:00:00,
15372,173486,HCE-20171215-5210,2018-01-25T00:00:00,2018-01-25T00:00:00,
15373,173431,HCE-20171017-4758,2018-01-12T00:00:00,2018-01-23T00:00:00,
15374,173430,HCE-20171017-4759,2018-01-12T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15375,173266,HCE-20171127-5069,2018-01-10T00:00:00,2018-01-11T00:00:00,
15376,173496,HCE-20171115-5014,2018-01-25T00:00:00,2018-01-26T00:00:00,NO CAUSE FOR ACTION INSPECTION
15377,173494,HCE-20170620-3414,2018-01-25T00:00:00,2018-01-26T00:00:00,
15378,173444,HCE-20171106-4916,2018-01-23T00:00:00,2018-01-24T00:00:00,
15379,173418,HCE-20170907-4368,2018-01-22T00:00:00,2018-01-23T00:00:00,
15380,173200,HCE-20171107-4945,2018-01-09T00:00:00,2018-01-09T00:00:00,
15381,173166,HCE-20180105-1062,2018-01-05T00:00:00,2018-01-08T00:00:00,
15382,173137,HCE-20171212-5185,2018-01-04T00:00:00,2018-01-05T00:00:00,
15383,173187,HCE-20180103-1036,2018-01-08T00:00:00,2018-01-09T00:00:00,
15384,173314,HCE-20180103-1036,2018-01-16T00:00:00,2018-01-16T00:00:00,
15385,173827,HCE-20170821-4149,2018-02-21T00:00:00,2018-02-22T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15386,173797,HCE-20171115-5020,2018-02-16T00:00:00,2018-02-20T00:00:00,
15387,173682,HCE-20171229-5295,2018-02-09T00:00:00,2018-02-13T00:00:00,
15388,173886,HCE-20170809-3999,2018-02-26T00:00:00,2018-02-27T00:00:00,
15389,173713,HCE-20170818-4127,2018-02-13T00:00:00,2018-02-14T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
